ANHO_ING,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_1,ret_2,ret_3,NIVEL_GLOBAL
2008,MAGARH,18,16.0,12.0,11.0,0.8888888888888888,0.6666666666666666,0.6111111111111112,MAGISTER
2008,MAGAS,9,7.0,4.0,1.0,0.7777777777777778,0.4444444444444444,0.1111111111111111,MAGISTER
2008,MAGCAG,57,9.0,,1.0,0.15789473684210525,,0.017543859649122806,MAGISTER
2008,MAGCDI,25,23.0,17.0,7.0,0.92,0.68,0.28,MAGISTER
2008,MAGCM,3,3.0,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,MAGISTER
2008,MAGEDU,73,56.0,22.0,6.0,0.7671232876712328,0.3013698630136986,0.0821917808219178,MAGISTER
2008,MAGEF,15,13.0,6.0,3.0,0.8666666666666667,0.4,0.2,MAGISTER
2008,MAGEI,11,8.0,2.0,2.0,0.7272727272727273,0.18181818181818182,0.18181818181818182,MAGISTER
2008,MAGEII,35,24.0,13.0,14.0,0.6857142857142857,0.37142857142857144,0.4,MAGISTER
2008,MAGFC,9,9.0,6.0,3.0,1.0,0.6666666666666666,0.3333333333333333,MAGISTER
2008,MAGFP,13,11.0,7.0,4.0,0.8461538461538461,0.5384615384615384,0.3076923076923077,MAGISTER
2008,MAGGP,10,10.0,7.0,5.0,1.0,0.7,0.5,MAGISTER
2008,MAGGT,7,6.0,1.0,,0.8571428571428571,0.14285714285714285,,MAGISTER
2008,MAGHI,28,25.0,19.0,2.0,0.8928571428571429,0.6785714285714286,0.07142857142857142,MAGISTER
2008,MAGII,22,17.0,7.0,4.0,0.7727272727272727,0.3181818181818182,0.18181818181818182,MAGISTER
2008,MAGLG,26,20.0,14.0,10.0,0.7692307692307693,0.5384615384615384,0.38461538461538464,MAGISTER
2008,MAGLI,18,14.0,13.0,9.0,0.7777777777777778,0.7222222222222222,0.5,MAGISTER
2008,MAGMA,56,45.0,14.0,2.0,0.8035714285714286,0.25,0.03571428571428571,MAGISTER
2008,MAGPC,8,7.0,3.0,3.0,0.875,0.375,0.375,MAGISTER
2008,MAGPE,8,3.0,,1.0,0.375,,0.125,MAGISTER
2008,MAGPED,12,7.0,2.0,1.0,0.5833333333333334,0.16666666666666666,0.08333333333333333,MAGISTER
2008,MAGPGT,30,11.0,3.0,1.0,0.36666666666666664,0.1,0.03333333333333333,MAGISTER
2008,MAGPS,10,9.0,4.0,2.0,0.9,0.4,0.2,MAGISTER
2008,MAGQUI,4,3.0,2.0,1.0,0.75,0.5,0.25,MAGISTER
2008,MAGTA,1,1.0,1.0,1.0,1.0,1.0,1.0,MAGISTER
2008,MAGTCO,3,3.0,2.0,,1.0,0.6666666666666666,,MAGISTER
2008,MED,73,63.0,63.0,62.0,0.863013698630137,0.863013698630137,0.8493150684931506,PREGRADO
2008,OBP,50,46.0,44.0,43.0,0.92,0.88,0.86,PREGRADO
2008,PEDCAST,40,33.0,30.0,29.0,0.825,0.75,0.725,PREGRADO
2008,PEDEGB,37,27.0,25.0,24.0,0.7297297297297297,0.6756756756756757,0.6486486486486487,PREGRADO
2008,PEDFILOS,36,29.0,19.0,18.0,0.8055555555555556,0.5277777777777778,0.5,PREGRADO
2008,PEDFISMAT,33,20.0,20.0,18.0,0.6060606060606061,0.6060606060606061,0.5454545454545454,PREGRADO
2008,PEDHS,44,40.0,37.0,35.0,0.9090909090909091,0.8409090909090909,0.7954545454545454,PREGRADO
2008,PEDINGLES,42,36.0,32.0,31.0,0.8571428571428571,0.7619047619047619,0.7380952380952381,PREGRADO
2008,PEDMATCOMP,57,47.0,41.0,36.0,0.8245614035087719,0.7192982456140351,0.631578947368421,PREGRADO
2008,PEDQUIMBIO,34,26.0,21.0,20.0,0.7647058823529411,0.6176470588235294,0.5882352941176471,PREGRADO
2008,PEP,34,27.0,15.0,9.0,0.7941176470588235,0.4411764705882353,0.2647058823529412,PREGRADO
2008,PER,57,50.0,48.0,43.0,0.8771929824561403,0.8421052631578947,0.7543859649122807,PREGRADO
2008,POSAG,24,,,,,,,POSTITUTLO
2008,POSAM,11,,,,,,,POSTITUTLO
2008,POSAN,2,1.0,1.0,,0.5,0.5,,POSTITUTLO
2008,POSCG,8,7.0,6.0,,0.875,0.75,,POSTITUTLO
2008,POSCI,27,,,,,,,POSTITUTLO
2008,POSEI,35,,,,,,,POSTITUTLO
2008,POSEMI,5,5.0,5.0,,1.0,1.0,,POSTITUTLO
2008,POSEMP,40,,,,,,,POSTITUTLO
2008,POSEPI,4,4.0,4.0,,1.0,1.0,,POSTITUTLO
2008,POSEPR,27,,,,,,,POSTITUTLO
2008,POSET,12,1.0,1.0,,0.08333333333333333,0.08333333333333333,,POSTITUTLO
2008,POSGEO,22,,,,,,,POSTITUTLO
2008,POSGO,4,3.0,3.0,1.0,0.75,0.75,0.25,POSTITUTLO
2008,POSIA,1,,,,,,,POSTITUTLO
2008,POSIAM,8,,,,,,,POSTITUTLO
2008,POSIC,18,,,,,,,POSTITUTLO
2008,POSLTRI,23,1.0,,,0.043478260869565216,,,POSTITUTLO
2008,POSMU,1,1.0,1.0,,1.0,1.0,,POSTITUTLO
2008,POSPP,38,,1.0,,,0.02631578947368421,,POSTITUTLO
2008,POSTROR,6,4.0,4.0,,0.6666666666666666,0.6666666666666666,,POSTITUTLO
2008,POSURO,2,2.0,2.0,,1.0,1.0,,POSTITUTLO
2008,PRE,81,35.0,1.0,3.0,0.43209876543209874,0.012345679012345678,0.037037037037037035,PREGRADO
2008,PSI,69,61.0,56.0,56.0,0.8840579710144928,0.8115942028985508,0.8115942028985508,PREGRADO
2008,PUB,73,62.0,52.0,50.0,0.8493150684931506,0.7123287671232876,0.684931506849315,PREGRADO
2008,TAI,45,39.0,33.0,21.0,0.8666666666666667,0.7333333333333333,0.4666666666666667,PREGRADO
